stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_11676,11676,AV.PABLO IGLESIAS-ENCUENTRO,Avda de Pablo Iglesias 15,40.3016357421875,-3.84116387367249,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11677,11677,AV.PABLO IGLESIAS-ENCUENTRO,Avda de Pablo Iglesias 15,40.3012657165527,-3.84082984924316,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11678,11678,AV.PABLO IGLESIAS-MARIA MOLINER,Avda de Pablo Iglesias 9,40.2960968017578,-3.84060120582581,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11679,11679,AV.PABLO IGLESIAS-ALEGRIA,Avda de Pablo Iglesias 9,40.2961463928223,-3.84021353721619,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11680,11680,AV.PABLO IGLESIAS-FEDERICA MONTSENY,Avda de Pablo Iglesias 1,40.2960662841797,-3.83607077598572,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11681,11681,AV.PABLO IGLESIAS-DOLORES IBARRURI,Avda de Pablo Iglesias 1,40.2963104248047,-3.83608555793762,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_11682,11682,AV.PABLO IGLESIAS-GABRIELA MISTRAL,Avda de Pablo Iglesias 1,40.2968864440918,-3.8335394859314,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12423,12423,CLARA CAMPOAMOR-ANA FRANK,Calle de Clara Campoamor 2,40.2949447631836,-3.83178615570068,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12424,12424,AV.PABLO IGLESIAS-GABRIELA MISTRAL,Avda de Pablo Iglesias 1,40.2966613769531,-3.83356022834778,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12425,12425,AV.PABLO IGLESIAS-AV.LIBERTAD,Avda de Pablo Iglesias 17,40.3036117553711,-3.83918809890747,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12426,12426,AV.PABLO IGLESIAS-ALBA,Avda de Pablo Iglesias 15,40.3038635253906,-3.83965015411377,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_08638,08638,CTRA.A5-C.C.MADRID XANADÚ,Ctra de Extremadura (Actual N-V) 22300,40.3036880493164,-3.9226655960083,B2,http://www.crtm.es,0,,Europe/Madrid,2
